fips,CountyName
46768,Marion city
47728,Maytown town
48052,Memphis town
48064,Mentone town
48376,Midfield city
48400,Midland City town
48424,Midway town
48712,Millbrook city
48808,Millport town
48832,Millry town
50000,Mobile city
50192,Monroeville city
50312,Montevallo city
51000,Montgomery city
51096,Moody city
51264,Mooresville town
51456,Morris town
51520,Mosses town
51600,Moulton city
51648,Moundville town
51696,Mountain Brook city
52608,Mount Vernon town
52776,Mulga town
52848,Munford town
53016,Muscle Shoals city
53112,Myrtlewood town
53256,Napier Field town
53376,Natural Bridge town
53400,Nauvoo town
53448,Nectar town
53472,Needham town
53784,Newbern town
53856,New Brockton town
54168,New Hope city
54432,New Site town
54480,Newton town
54600,Newville town
55044,North Courtland town
55152,North Johns town
55200,Northport city
55440,Notasulga town
55752,Oak Grove town
55848,Oak Hill town
55992,Oakman town
56400,Odenville town
56472,Ohatchee town
57000,Oneonta city
57024,Onycha town
57048,Opelika city
57120,Opp city
57144,Orange Beach city
57240,Orrville town
57504,Owens Cross Roads town
57576,Oxford city
57648,Ozark city
57696,Paint Rock town
58272,Parrish town
58848,Pelham city
58896,Pell City city
58968,Pennington town
59088,Perdido Beach town
59328,Petrey town
59472,Phenix City city
59496,Phil Campbell town
59592,Pickensville town
59640,Piedmont city
59760,Pike Road town
59832,Pinckard town
59880,Pine Apple town
60240,Pine Hill town
60372,Pine Ridge town
60648,Pinson city
60720,Pisgah town
61008,Pleasant Grove city
61038,Pleasant Groves town
61536,Pollard town
62075,Powell town
62328,Prattville city
62472,Priceville town
62496,Prichard city
62688,Providence town
63216,Ragland town
63288,Rainbow City city
63336,Rainsville city
63408,Ranburne town
63576,Red Bay city
63768,Red Level town
63984,Reece City town
64104,Reform town
64152,Rehobeth town
64368,Repton town
64656,Ridgeville town
64776,River Falls town
64920,Riverside town
65016,Riverview town
65040,Roanoke city
65208,Robertsdale city
65472,Rockford town
66216,Rogersville town
66408,Rosa town
67056,Russellville city
67176,Rutledge town
67536,St. Florian town
67800,Samson city
67920,Sand Rock town
68016,Sanford town
68160,Saraland city
68280,Sardis City town
68352,Satsuma city
68736,Scottsboro city
69000,Section town
69120,Selma city
69240,Semmes city
69648,Sheffield city
69840,Shiloh town
70128,Shorter town
70416,Silas town
70536,Silverhill town
70704,Sipsey town
70896,Skyline town
71040,Slocomb city
71190,Smiths Station city
71280,Snead town
71496,Somerville town
71832,Southside city
71900,South Vinemont town
71976,Spanish Fort city
72600,Springville city
72888,Steele town
73080,Stevenson city
73728,Sulligent city
73848,Sumiton city
73872,Summerdale town
74160,Susan Moore town
74304,Sweet Water town
74352,Sylacauga city
74400,Sylvania town
74424,Sylvan Springs town
74592,Talladega city
74616,Talladega Springs town
74688,Tallassee city
74976,Tarrant city
75096,Taylor town
75936,Thomaston town
75960,Thomasville city
76080,Thorsby town
76584,Town Creek town
76632,Toxey town
76680,Trafford town
76824,Triana town
76872,Trinity town
76920,Troy city
76944,Trussville city
77256,Tuscaloosa city
77280,Tuscumbia city
77304,Tuskegee city
77352,Twin town
77616,Union town
77784,Union Grove town
77880,Union Springs city
77904,Uniontown town
78204,Valley city
78232,Valley Grande city
78240,Valley Head town
78264,Vance town
78480,Vernon city
78552,Vestavia Hills city
78984,Vina town
79008,Vincent town
79272,Vredenburgh town
79344,Wadley town
79488,Waldo town
79728,Walnut Grove town
79944,Warrior city
80064,Waterloo town
80256,Waverly town
80352,Weaver city
80376,Webb town
80496,Wedowee town
80928,West Blocton town
81336,West Jefferson town
81504,Westover town
81528,West Point town
81720,Wetumpka city
81912,White Hall town
82848,Wilsonville town
82872,Wilton town
82992,Winfield city
83400,Woodland town
83640,Woodstock town
83664,Woodville town
83976,Yellow Bluff town
84096,York city
00000,Alaska
00000,Aleutians East Borough
00000,Aleutians West Census Area
00000,Anchorage Municipality
00000,Bethel Census Area
00000,Bristol Bay Borough
00000,Denali Borough
00000,Dillingham Census Area
00000,Fairbanks North Star Borough
00000,Haines Borough
00000,Hoonah-Angoon Census Area
00000,Juneau City and Borough
00000,Kenai Peninsula Borough
00000,Ketchikan Gateway Borough
00000,Kodiak Island Borough
00000,Kusilvak Census Area
00000,Lake and Peninsula Borough
00000,Matanuska-Susitna Borough
00000,Nome Census Area
00000,North Slope Borough
00000,Northwest Arctic Borough
00000,Petersburg Borough
00000,Prince of Wales-Hyder Census Area
00000,Sitka City and Borough
00000,Skagway Municipality
00000,Southeast Fairbanks Census Area
00000,Valdez-Cordova Census Area
00000,Wrangell City and Borough
00000,Yakutat City and Borough
00000,Yukon-Koyukuk Census Area
00065,Adak city
00650,Akhiok city
00870,Akiak city
01090,Akutan city
01200,Alakanuk city
01420,Aleknagik city
01860,Allakaket city
01970,Ambler city
02080,Anaktuvuk Pass city
03000,Anchorage municipality
03220,Anderson city
03440,Angoon city
03550,Aniak city
03880,Anvik city
04210,Atka city
04500,Atqasuk city
05200,Barrow city
06520,Bethel city
06630,Bettles city
08740,Brevig Mission city
09600,Buckland city
12680,Chefornak city
13230,Chevak city
13550,Chignik city
14330,Chuathbaluk city
15430,Clark's Point city
16360,Coffman Cove city
16530,Cold Bay city
17410,Cordova city
17740,Craig city
18510,Deering city
18620,Delta Junction city
18950,Dillingham city
19060,Diomede city
20380,Eagle city
20970,Edna Bay city
21040,Eek city
21150,Egegik city
21810,Ekwok city
22250,Elim city
22910,Emmonak city
24230,Fairbanks city
24660,False Pass city
26760,Fort Yukon city
27530,Galena city
27640,Gambell city
29180,Golovin city
29290,Goodnews Bay city
30060,Grayling city
30940,Gustavus city
33030,Holy Cross city
33140,Homer city
33360,Hoonah city
33470,Hooper Bay city
33800,Houston city
33910,Hughes city
34350,Huslia city
34460,Hydaburg city
36400,Juneau city and borough
36540,Kachemak city
36770,Kake city
36990,Kaktovik city
37430,Kaltag city
37650,Kasaan city
38420,Kenai city
38970,Ketchikan city
39300,Kiana city
39410,King Cove city
39960,Kivalina city
40400,Klawock city
40840,Kobuk city
40950,Kodiak city
41720,Kotlik city
41830,Kotzebue city
41940,Koyuk city
42050,Koyukuk city
42160,Kupreanof city
42380,Kwethluk city
43040,Larsen Bay city
45460,Lower Kalskag city
46010,McGrath city
46890,Manokotak city
47000,Marshall city
47990,Mekoryuk city
51180,Mountain Village city
52390,Napakiak city
52720,Napaskiak city
53050,Nenana city
53270,Newhalen city
53710,New Stuyahok city
53930,Nightmute city
54150,Nikolai city
54920,Nome city
55030,Nondalton city
55140,Noorvik city
55910,North Pole city
56320,Nuiqsut city
56350,Nulato city
56600,Nunam Iqua city
56680,Nunapitchuk city
57340,Old Harbor city
58550,Ouzinkie city
58660,Palmer city
59650,Pelican city
60640,Pilot Point city
60750,Pilot Station city
61080,Platinum city
61630,Point Hope city
62510,Port Alexander city
63390,Port Heiden city
63610,Port Lions city
64600,Quinhagak city
65590,Ruby city
65700,Russian Mission city
65800,St. George city
66140,St. Mary's city
66360,St. Michael city
66470,St. Paul city
67020,Sand Point city
67460,Savoonga city
67570,Saxman city
67680,Scammon Bay city
68230,Selawik city
68340,Seldovia city
68560,Seward city
68670,Shageluk city
68890,Shaktoolik city
69770,Shishmaref city
70100,Shungnak city
70540,Sitka city and borough
71640,Soldotna city
72960,Stebbins city
75160,Tanana city
75930,Teller city
76260,Tenakee Springs city
77140,Thorne Bay city
77690,Togiak city
78240,Toksook Bay city
80660,Unalakleet city
80770,Unalaska city
81320,Upper Kalskag city
82200,Valdez city
82750,Wainwright city
82860,Wales city
83080,Wasilla city
84070,White Mountain city
84510,Whittier city
86380,Wrangell city and borough
00000,Arizona
00000,Apache County
00000,Cochise County
00000,Coconino County
00000,Gila County
00000,Graham County
00000,Greenlee County
00000,La Paz County
00000,Maricopa County
00000,Mohave County
00000,Navajo County
00000,Pima County
00000,Pinal County
00000,Santa Cruz County
00000,Yavapai County
00000,Yuma County
02830,Apache Junction city
04720,Avondale city
05770,Benson city
06260,Bisbee city
07940,Buckeye city
08220,Bullhead City city
09690,Camp Verde town
10180,Carefree town
10530,Casa Grande city
11300,Cave Creek town
12000,Chandler city
12840,Chino Valley town
13890,Clarkdale town
14380,Clifton town
14870,Colorado City town
15500,Coolidge city
16410,Cottonwood city
19145,Dewey-Humboldt town
20050,Douglas city
20750,Duncan town
20960,Eagar town
22220,El Mirage city
22360,Eloy city
23620,Flagstaff city
23760,Florence town
25300,Fountain Hills town
25720,Fredonia town
27050,Gila Bend town
27400,Gilbert town
27820,Glendale city
28030,Globe city
28380,Goodyear city
30270,Guadalupe town
32020,Hayden town
33280,Holbrook city
34120,Huachuca City town
36290,Jerome town
37200,Kearny town
37620,Kingman city
39370,Lake Havasu City city
41330,Litchfield Park city
43990,Mammoth town
44270,Marana town
44410,Maricopa city
46000,Mesa city
46350,Miami town
49640,Nogales city
51600,Oro Valley town
51810,Page city
52930,Paradise Valley town
53070,Parker town
53490,Patagonia town
53700,Payson town
54050,Peoria city
55000,Phoenix city
55560,Pima town
55980,Pinetop-Lakeside town
57380,Prescott city
57450,Prescott Valley town
58010,Quartzsite town
58150,Queen Creek town
62000,Safford city
62140,Sahuarita town
62350,St. Johns city
63470,San Luis city
65000,Scottsdale city
65350,Sedona city
66470,Show Low city
66820,Sierra Vista city
67800,Snowflake town
68080,Somerton city
68850,South Tucson city
68990,Springerville town
69480,Star Valley town
71300,Superior town
71510,Surprise city
72420,Taylor town
73000,Tempe city
73420,Thatcher town
74190,Tolleson city
74400,Tombstone city
77000,Tucson city
77490,Tusayan town
81480,Wellton town
82740,Wickenburg town
83090,Willcox city
83160,Williams city
83790,Winkelman town
83930,Winslow city
85400,Youngtown town
85540,Yuma city
00000,Arkansas
00000,Arkansas County
00000,Ashley County
00000,Baxter County
00000,Benton County
00000,Boone County
00000,Bradley County
00000,Calhoun County
00000,Carroll County
00000,Chicot County
00000,Clark County
00000,Clay County
00000,Cleburne County
00000,Cleveland County
00000,Columbia County
00000,Conway County
00000,Craighead County
00000,Crawford County
00000,Crittenden County
00000,Cross County
00000,Dallas County
00000,Desha County
00000,Drew County
00000,Faulkner County
00000,Franklin County
00000,Fulton County
00000,Garland County
00000,Grant County
00000,Greene County
00000,Hempstead County
00000,Hot Spring County
00000,Howard County
00000,Independence County
00000,Izard County
00000,Jackson County
00000,Jefferson County
00000,Johnson County
00000,Lafayette County
00000,Lawrence County
00000,Lee County
00000,Lincoln County
00000,Little River County
00000,Logan County
00000,Lonoke County
00000,Madison County
00000,Marion County
00000,Miller County
00000,Mississippi County
00000,Monroe County
00000,Montgomery County
00000,Nevada County
00000,Newton County
00000,Ouachita County
00000,Perry County
00000,Phillips County
00000,Pike County
00000,Poinsett County
00000,Polk County
00000,Pope County
00000,Prairie County
00000,Pulaski County
00000,Randolph County
00000,St. Francis County
00000,Saline County
00000,Scott County
00000,Searcy County
00000,Sebastian County
00000,Sevier County
00000,Sharp County
00000,Stone County
00000,Union County
00000,Van Buren County
00000,Washington County
00000,White County
00000,Woodruff County
00000,Yell County
00250,Adona city
00580,Alexander city
00700,Alicia town
00940,Allport town
00970,Alma city
01030,Almyra town
01060,Alpena town
01150,Altheimer city
01210,Altus city
01270,Amagon town
01360,Amity city
01457,Anthonyville town
01540,Antoine town
01870,Arkadelphia city
01990,Arkansas City city
02380,Ashdown city
02470,Ash Flat city
02590,Atkins city
02680,Aubrey town
02740,Augusta city
02860,Austin city
03040,Avoca town
03280,Bald Knob city
03430,Banks town
03640,Barling city
03940,Bassett town
04030,Batesville city
04090,Bauxite town
04180,Bay city
04420,Bearden city
04540,Beaver town
04600,Beebe city
04720,Beedeville town
04840,Bella Vista city
04900,Bellefonte town
04960,Belleville city
05260,Ben Lomond town
05290,Benton city
05320,Bentonville city
05440,Bergman town
05560,Berryville city
05740,Bethel Heights city
05920,Bigelow town
05980,Big Flat town
06040,Biggers town
06340,Birdsong town
06610,Black Oak town
06700,Black Rock city
06730,Black Springs town
07030,Blevins city
07150,Blue Eye town
07210,Blue Mountain town
07270,Bluff City town
07330,Blytheville city
07450,Bodcaw town
07540,Bonanza city
07630,Bono city
07720,Booneville city
08260,Bradford city
08290,Bradley city
08440,Branch city
08665,Briarcliff city
08950,Brinkley city
09100,Brookland city
09460,Bryant city
09550,Buckner city
09790,Bull Shoals city
09880,Burdette town
10300,Cabot city
10360,Caddo Valley town
10450,Caldwell town
10480,Cale town
10570,Calico Rock city
10600,Calion city
10720,Camden city
10780,Cammack Village city
10900,Campbell Station city
11410,Caraway city
11500,Carlisle city
11830,Carthage city
11890,Casa town
11920,Cash town
12190,Caulksville town
12280,Cave City city
12340,Cave Springs city
12520,Cedarville city
12820,Centerton city
13120,Central City town
13300,Charleston city
13450,Cherokee Village city
13540,Cherry Valley city
13570,Chester town
13750,Chidester city
13990,Clarendon city
14050,Clarkedale city
14140,Clarksville city
14260,Clinton city
14500,Coal Hill city
14770,College City city
14950,Colt city
15100,Concord town
15190,Conway city
15310,Corinth town
15460,Corning city
15490,Cotter city
15550,Cotton Plant city
15700,Cove town
15790,Coy town
15940,Crawfordsville town
16240,Crossett city
16930,Cushman city
17140,Daisy town
17290,Damascus town
17320,Danville city
17380,Dardanelle city
17410,Datto town
17740,Decatur city
18010,Delaplaine town
18100,Delight city
18160,Dell town
18370,Denning town
18490,De Queen city
18520,Dermott city
18550,Des Arc city
18640,De Valls Bluff city
18790,DeWitt city
18850,Diamond City city
18940,Diaz city
18970,Dierks city
19450,Donaldson town
19600,Dover city
19990,Dumas city
20200,Dyer city
20230,Dyess town
20320,Earle city
20440,East Camden town
20830,Edmondson town
20920,Egypt town
20950,Elaine city
21070,El Dorado city
21190,Elkins city
21430,Elm Springs city
21580,Emerson town
21610,Emmet city
21730,England city
21820,Enola town
22120,Etowah town
22180,Eudora city
22240,Eureka Springs city
22360,Evening Shade city
22450,Everton town
22660,Fairfield Bay city
23140,Fargo town
23170,Farmington city
23290,Fayetteville city
23320,Felsenthal town
23680,Fifty-Six city
23800,Fisher city
24010,Flippin city
24220,Fordyce city
24250,Foreman city
24430,Forrest City city
24550,Fort Smith city
24640,Fouke city
24670,Fountain Hill town
24700,Fountain Lake town
24760,Fourche town
25030,Franklin town
25060,Fredonia (Biscoe) town
25180,Friendship town
25360,Fulton town
25750,Garfield town
25780,Garland town
25900,Garner town
26050,Gassville city
26110,Gateway town
26290,Gentry city
26440,Georgetown town
26800,Gilbert town
26980,Gillett city
27010,Gillham town
27040,Gilmore city
27310,Glenwood city
27670,Goshen town
27700,Gosnell city
27730,Gould city
27790,Grady city
27970,Grannis city
28360,Gravette city
28510,Greenbrier city
28600,Green Forest city
28660,Greenland city
28720,Greenway city
28780,Greenwood city
28810,Greers Ferry city
28990,Griffithville town
29020,Grubbs city
29080,Guion town
29140,Gum Springs town
29200,Gurdon city
29230,Guy city
29290,Hackett city
29500,Hamburg city
29650,Hampton city
29920,Hardy city
30310,Harrell town
30400,Harrisburg city
30460,Harrison city
30490,Hartford city
30520,Hartman city
30640,Haskell city
30700,Hatfield town
30790,Havana city
30880,Haynes town
30940,Hazen city
31090,Heber Springs city
31150,Hector town
31190,Helena-West Helena city
31540,Hermitage city
31900,Hickory Ridge city
32080,Higden town
32140,Higginson town
32200,Highfill town
32257,Highland city
32470,Hindsville town
32710,Holland city
32800,Holly Grove city
33190,Hope city
33310,Horatio city
33370,Horseshoe Bend city
33375,Horseshoe Lake town
33400,Hot Springs city
33490,Houston town
33580,Hoxie city
33760,Hughes city
33820,Humnoke city
33850,Humphrey city
33910,Hunter town
33940,Huntington city
33970,Huntsville city
34090,Huttig city
34150,Imboden town
34720,Jacksonport town
34750,Jacksonville city
34900,Jasper city
35040,Jennette town
35140,Jericho town
35170,Jerome town
35500,Johnson city
35650,Joiner city
35710,Jonesboro city
36040,Judsonia city
36130,Junction City city
36310,Keiser city
36430,Kensett city
36550,Keo town
36670,Kibler city
36880,Kingsland city
37240,Knobel city
37300,Knoxville town
37660,Lafe town
37720,LaGrange town
37780,Lake City city
38050,Lakeview city
38110,Lake View city
38170,Lake Village city
38290,Lamar city
38890,Lavaca city
39010,Leachville city
39040,Lead Hill town
39310,Leola town
39370,Lepanto city
39460,Leslie city
39520,Letona town
39640,Lewisville city
39670,Lexa town
39970,Lincoln city
40120,Little Flock city
41000,Little Rock city
41090,Lockesburg city
41270,London city
41420,Lonoke city
41450,Lonsdale town
41630,Louann town
41720,Lowell city
42170,Luxora city
42260,Lynn town
42410,McCaskill town
42500,McCrory city
42560,McDougal town
42770,McGehee city
43070,McNab town
43100,McNeil city
43220,McRae city
43280,Madison city
43310,Magazine city
43370,Magness town
43460,Magnolia city
43610,Malvern city
43670,Mammoth Spring city
43820,Manila city
43880,Mansfield city
44120,Marianna city
44150,Marie town
44180,Marion city
44210,Marked Tree city
44240,Marmaduke city
44300,Marshall city
44420,Marvell city
44600,Maumelle city
44750,Mayflower city
44780,Maynard town
45080,Melbourne city
45170,Mena city
45200,Menifee town
45500,Midland town
45560,Midway town
46040,Mineral Springs city
46100,Minturn town
46190,Mitchellville city
46400,Monette city
46580,Monticello city
46670,Montrose city
46730,Moorefield town
46910,Moro town
46970,Morrilton city
47030,Morrison Bluff town
47300,Mountainburg city
47390,Mountain Home city
47450,Mountain Pine city
47540,Mountain View city
47690,Mount Ida city
47900,Mount Pleasant town
48020,Mount Vernon town
48200,Mulberry city
48290,Murfreesboro city
48560,Nashville city
49010,Newark city
49580,Newport city
49820,Nimmons town
50000,Norfork city
50030,Norman town
50060,Norphlet city
50450,North Little Rock city
50810,Oak Grove town
51060,Oak Grove Heights town
51080,Oakhaven town
51290,Oden town
51350,Ogden city
51410,Oil Trough town
51500,O'Kean town
51530,Okolona town
51560,Ola city
52160,Omaha town
52430,Oppelo city
52580,Osceola city
52880,Oxford city
52940,Ozan town
52970,Ozark city
53150,Palestine city
53240,Pangburn city
53390,Paragould city
53480,Paris city
53510,Parkdale city
53600,Parkin city
53900,Patmos town
53990,Patterson city
54140,Peach Orchard city
54200,Pea Ridge city
54620,Perla town
54650,Perry town
54680,Perrytown town
54710,Perryville city
55130,Piggott city
55280,Pindall town
55310,Pine Bluff city
55580,Pineville town
55970,Plainview city
56270,Pleasant Plains town
56480,Plumerville city
56540,Pocahontas city
56600,Pollard city
56720,Portia town
56750,Portland city
56990,Pottsville city
57050,Powhatan town
57080,Poyen town
57170,Prairie Grove city
57230,Prattsville town
57260,Prescott city
57890,Pyatt town
57950,Quitman city
58160,Ratcliff city
58250,Ravenden town
58280,Ravenden Springs town
58490,Rector city
58580,Redfield city
58880,Reed town
59180,Reyno city
59480,Rison city
60020,Rockport city
60380,Roe town
60410,Rogers city
60590,Rondo town
60770,Rose Bud town
61040,Rosston town
61460,Rudy town
61640,Russell town
61670,Russellville city
61940,St. Charles town
61970,St. Francis city
62030,St. Joe town
62060,St. Paul town
62150,Salem city
62240,Salesville city
62960,Scranton city
63020,Searcy city
63110,Sedgwick town
63470,Shannon Hills city
63710,Sheridan city
63740,Sherrill town
63800,Sherwood city
63980,Shirley town
64280,Sidney town
64370,Siloam Springs city
64730,Smackover city
64910,Smithville town
65480,South Lead Hill town
65630,Southside city
65900,Sparkman city
66080,Springdale city
66200,Springtown town
66320,Stamps city
66440,Star City city
66860,Stephens city
67250,Strawberry town
67370,Strong city
67490,Stuttgart city
67520,Subiaco town
67550,Success town
67730,Sulphur Rock town
67760,Sulphur Springs city
67940,Summit city
68060,Sunset town
68360,Swifton city
68660,Taylor city
68810,Texarkana city
69050,Thornton city
69230,Tillar city
69350,Tinsman town
69500,Tollette town
69740,Tontitown city
69830,Traskwood city
70010,Trumann city
70100,Tuckerman city
70220,Tull town
70340,Tupelo town
70430,Turrell city
70540,Twin Groves town
70700,Tyronza city
70760,Ulm town
71390,Valley Springs town
71480,Van Buren city
71510,Vandervoort town
71900,Victoria town
71960,Vilonia city
72140,Viola town
72230,Wabbaseka town
72320,Waldenburg town
72350,Waldo city
72380,Waldron city
72890,Walnut Ridge city
73130,Ward city
73310,Warren city
73370,Washington city
73550,Watson city
73940,Weiner city
74000,Weldon town
74330,Western Grove town
74360,West Fork city
74540,West Memphis city
74660,West Point town
74840,Wheatley city
74930,Whelen Springs town
75170,White Hall city
75500,Wickes town
75560,Widener town
75570,Wiederkehr Village city
75740,Williford town
75770,Willisville town
75860,Wilmar city
75890,Wilmot city
75920,Wilson city
75980,Wilton city
76010,Winchester town
76190,Winslow city
76250,Winthrop city
76820,Wooster town
76970,Wrightsville city
77090,Wynne city
77330,Yellville city
77600,Zinc town
00000,California
00000,Alameda County
00000,Alpine County
00000,Amador County
00000,Butte County
00000,Calaveras County
00000,Colusa County
00000,Contra Costa County
00000,Del Norte County
00000,El Dorado County
00000,Fresno County
00000,Glenn County
00000,Humboldt County
00000,Imperial County
00000,Inyo County
00000,Kern County
00000,Kings County
00000,Lake County
00000,Lassen County
00000,Los Angeles County
00000,Madera County
00000,Marin County
00000,Mariposa County
00000,Mendocino County
00000,Merced County
00000,Modoc County
00000,Mono County
00000,Monterey County
00000,Napa County
00000,Nevada County
00000,Orange County
00000,Placer County
00000,Plumas County
00000,Riverside County
00000,Sacramento County
00000,San Benito County
00000,San Bernardino County
00000,San Diego County
00000,San Francisco County
00000,San Joaquin County
00000,San Luis Obispo County
00000,San Mateo County
00000,Santa Barbara County
00000,Santa Clara County
00000,Santa Cruz County
00000,Shasta County
00000,Sierra County
00000,Siskiyou County
00000,Solano County
00000,Sonoma County
00000,Stanislaus County
00000,Sutter County
00000,Tehama County
00000,Trinity County
